timestamp,people_count,crowd_level
2025-12-21 10:55:24.641265,19,High
2025-12-21 10:55:24.842025,17,High
2025-12-21 10:55:25.054489,17,High
2025-12-21 10:55:25.250664,18,High
2025-12-21 10:55:25.488403,17,High
2025-12-21 10:55:25.798329,15,Medium
2025-12-21 10:55:26.022353,14,Medium
2025-12-21 10:55:26.264348,14,Medium
2025-12-21 10:55:26.485431,14,Medium
2025-12-21 10:55:26.712216,12,Medium
2025-12-21 10:55:26.958185,13,Medium
2025-12-21 10:55:27.156735,13,Medium
2025-12-21 10:55:27.347799,14,Medium
2025-12-21 10:55:27.502964,14,Medium
2025-12-21 10:55:27.665475,14,Medium
2025-12-21 10:55:27.853070,13,Medium
2025-12-21 10:55:28.193122,14,Medium
2025-12-21 10:55:54.476488,14,Medium
2025-12-21 10:55:55.150233,13,Medium
2025-12-21 10:55:55.487511,16,High
2025-12-21 10:55:55.917519,17,High
2025-12-21 10:55:56.290830,16,High
2025-12-21 10:55:56.585081,15,Medium
2025-12-21 10:55:56.896917,16,High
2025-12-21 10:55:57.261464,14,Medium
2025-12-21 10:55:57.636209,15,Medium
2025-12-21 10:55:58.002883,13,Medium
2025-12-21 10:55:58.337954,13,Medium
2025-12-21 10:55:58.692895,14,Medium
2025-12-21 10:55:59.074057,14,Medium
2025-12-21 10:55:59.429252,15,Medium
2025-12-21 10:55:59.796010,15,Medium
2025-12-21 10:56:00.201629,16,High
2025-12-21 10:56:00.601993,15,Medium
2025-12-21 10:56:00.981820,15,Medium
2025-12-21 10:56:01.360584,17,High
2025-12-21 10:56:01.750140,18,High
2025-12-21 10:56:02.099915,13,Medium
2025-12-21 10:56:02.467622,12,Medium
2025-12-21 10:56:02.860324,12,Medium
2025-12-21 10:56:03.177046,13,Medium
2025-12-21 10:56:03.615442,13,Medium
2025-12-21 10:56:03.973203,13,Medium
2025-12-21 10:56:04.354853,13,Medium
2025-12-21 10:56:04.712225,13,Medium
2025-12-21 10:56:05.095673,13,Medium
2025-12-21 10:56:05.482609,13,Medium
2025-12-21 10:56:05.815881,13,Medium
2025-12-21 10:56:06.136996,13,Medium
2025-12-21 10:56:06.518065,13,Medium
2025-12-21 10:56:06.916040,13,Medium
2025-12-21 10:56:07.303674,14,Medium
2025-12-21 10:56:07.697812,13,Medium
2025-12-21 10:56:08.091985,13,Medium
2025-12-21 10:56:08.434100,12,Medium
2025-12-21 10:56:08.836169,15,Medium
2025-12-21 10:56:09.191778,13,Medium
2025-12-21 10:56:09.599078,12,Medium
2025-12-21 10:56:09.957437,13,Medium
2025-12-21 10:56:10.344477,14,Medium
2025-12-21 10:56:10.713772,14,Medium
2025-12-21 10:56:11.126013,15,Medium
2025-12-21 10:56:11.537219,13,Medium
2025-12-21 10:56:11.932167,14,Medium
2025-12-21 10:56:12.260391,14,Medium
2025-12-21 10:56:12.655309,15,Medium
2025-12-21 10:56:13.025455,14,Medium
2025-12-21 10:56:13.408209,15,Medium
2025-12-21 10:56:13.924612,16,High
2025-12-21 10:56:14.372025,15,Medium
2025-12-21 10:56:14.740621,15,Medium
2025-12-21 10:56:15.186367,14,Medium
2025-12-21 10:56:15.627890,15,Medium
2025-12-21 10:56:16.535221,14,Medium
2025-12-21 10:56:16.955785,13,Medium
2025-12-21 10:56:17.332983,16,High
2025-12-21 10:56:17.685297,17,High
2025-12-21 10:56:18.071208,16,High
2025-12-21 10:56:18.413819,15,Medium
2025-12-21 10:56:18.817344,16,High
2025-12-21 10:56:19.151509,14,Medium
2025-12-21 10:56:19.533425,15,Medium
2025-12-21 10:56:19.894575,13,Medium
2025-12-21 10:56:20.269684,13,Medium
2025-12-21 10:56:20.630592,14,Medium
2025-12-21 10:56:20.986858,14,Medium
2025-12-21 10:56:21.397138,15,Medium
2025-12-21 10:56:21.781205,15,Medium
2025-12-21 10:56:22.149328,16,High
2025-12-21 10:56:22.558990,15,Medium
2025-12-21 10:56:22.947626,15,Medium
2025-12-21 10:56:23.283687,17,High
2025-12-21 10:56:23.619750,18,High
2025-12-21 10:56:23.981535,13,Medium
2025-12-21 10:56:24.380135,12,Medium
2025-12-21 10:56:24.806670,12,Medium
2025-12-21 10:56:25.153821,13,Medium
2025-12-21 10:56:25.547918,13,Medium
2025-12-21 10:56:25.894760,13,Medium
2025-12-21 10:56:26.271408,13,Medium
2025-12-21 10:56:26.638557,13,Medium
2025-12-21 10:56:26.977357,13,Medium
2025-12-21 10:56:27.321969,13,Medium
2025-12-21 10:56:28.165975,14,Medium
2025-12-21 10:56:28.581475,13,Medium
2025-12-21 10:56:29.021000,16,High
2025-12-21 10:56:29.402077,17,High
2025-12-21 10:56:29.784047,16,High
2025-12-21 10:56:30.183122,15,Medium
2025-12-21 10:56:30.589611,16,High
2025-12-21 10:56:30.991656,14,Medium
2025-12-21 10:56:31.387630,15,Medium
2025-12-21 10:56:31.776008,13,Medium
2025-12-21 10:56:32.191899,13,Medium
2025-12-21 10:56:32.457554,14,Medium
2025-12-21 10:56:32.748692,14,Medium
2025-12-21 10:56:32.995069,15,Medium
2025-12-21 10:56:33.284149,15,Medium
2025-12-21 10:56:33.681506,16,High
2025-12-21 10:56:34.061001,15,Medium
2025-12-21 10:56:34.455345,15,Medium
2025-12-21 10:56:34.846269,17,High
2025-12-21 10:56:35.232048,18,High
2025-12-21 10:56:35.655953,13,Medium
2025-12-21 10:56:36.049703,12,Medium
2025-12-21 10:56:36.467274,12,Medium
2025-12-21 10:56:36.891331,13,Medium
2025-12-21 10:56:37.326697,13,Medium
2025-12-21 10:56:37.736970,13,Medium
2025-12-21 10:56:38.129047,13,Medium
2025-12-21 10:56:38.534973,13,Medium
2025-12-21 10:56:38.943677,13,Medium
2025-12-21 10:56:39.326845,13,Medium
2025-12-21 10:56:39.727937,13,Medium
2025-12-21 10:56:40.183059,13,Medium
2025-12-21 10:56:40.583227,13,Medium
2025-12-21 10:56:41.004348,13,Medium
2025-12-21 10:56:41.306339,14,Medium
2025-12-21 10:56:41.662453,13,Medium
2025-12-21 10:56:42.030107,13,Medium
2025-12-21 10:59:05.370827,11,Medium
2025-12-21 10:59:05.631879,11,Medium
2025-12-21 10:59:05.895338,11,Medium
2025-12-21 10:59:06.131139,11,Medium
2025-12-21 10:59:06.564339,11,Medium
